"","unique_id","no3_as_n_Original","no3_as_n","no3_as_n_Cens","no3_as_n_Qualifier","no3_as_n_Symbology","no2_n_mgl_Original","no2_n_mgl","no2_n_mgl_Cens","no2_n_mgl_Qualifier","no2_n_mgl_Symbology","total_n_mgl_Original","total_n_mgl","total_n_mgl_Cens","total_n_mgl_Qualifier","total_n_mgl_Symbology","cl_mg_l_Original","cl_mg_l","cl_mg_l_Cens","cl_mg_l_Qualifier","cl_mg_l_Symbology","br_mg_l_Original","br_mg_l","br_mg_l_Cens","br_mg_l_Qualifier","br_mg_l_Symbology","gwic_id","sample_date_time","lab_name","latitude","longitude","type","aquifer","aquifer_grouped","bg","pch","col","cex"
"169","301824_2022-09-05","0.3",0.3,FALSE,"",0.3,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"9.7",9.7,FALSE,"",9.7,"<0.05",0.05,TRUE,"",-1,"301824",2022-09-05 00:03:00,"City of Billings",45.78887,-108.56593,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"170","301824_2022-09-14","0.44",0.44,FALSE,"",0.44,"<0.05",0.05,TRUE,"",-1,"0.47",0.47,FALSE,"",0.47,"7.98",7.98,FALSE,"",7.98,"<0.05",0.05,TRUE,"",-1,"301824",2022-09-14 13:25:00,"City of Billings",45.78887,-108.56593,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"171","307527_2022-10-27","1.58",1.58,FALSE,"",1.58,"<0.01",0.01,TRUE,"",-1,"1.58",1.58,FALSE,"",1.58,"36",36,FALSE,"",36,"0.1",0.1,FALSE,"",0.1,"307527",2022-10-27 15:08:00,"Energy Labs",45.780639,-108.659667,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"172","307527_2023-01-04","2.42",2.42,FALSE,"",2.42,"<0.05",0.05,TRUE,"",-1,"2.42",2.42,FALSE,"",2.42,"29.74",29.74,FALSE,"",29.74,"0.14",0.14,FALSE,"",0.14,"307527",2023-01-04 11:44:00,"City of Billings",45.780639,-108.659667,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"173","307527_2023-03-02","1.78",1.78,FALSE,"",1.78,"0.02",0.02,FALSE,"",0.02,"1.8",1.8,FALSE,"",1.8,"66",66,FALSE,"",66,"0.4",0.4,FALSE,"",0.4,"307527",2023-03-02 12:08:00,"Energy Labs",45.780639,-108.659667,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"174","307527_2023-03-29","2.270",2.27,FALSE,"",2.27,"<0.010 U",0.01,TRUE," U",-1,"1.800",1.8,FALSE,"",1.8,"41.590",41.59,FALSE,"",41.59,"187.000",0.187,FALSE,"",187,"307527",2023-03-29 15:57:00,"MBMG",45.780639,-108.659667,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"175","307527_2023-05-09","2.29",2.29,FALSE,"",2.29,"<0.01",0.01,TRUE,"",-1,"2.29",2.29,FALSE,"",2.29,"32",32,FALSE,"",32,"0.2",0.2,FALSE,"",0.2,"307527",2023-05-09 10:42:00,"Energy Labs",45.780639,-108.659667,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"176","307527_2023-07-06","2.46",2.46,FALSE,"",2.46,"<0.01",0.01,TRUE,"",-1,"2.46",2.46,FALSE,"",2.46,"31",31,FALSE,"",31,"<0.01",0.01,TRUE,"",-1,"307527",2023-07-06 12:30:00,"Energy Labs",45.780639,-108.659667,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"177","307527_2023-09-07","1.880",1.88,FALSE,"",1.88,"<0.010 U",0.01,TRUE," U",-1,"1.630",1.63,FALSE,"",1.63,"41.180",41.18,FALSE,"",41.18,"165.000",0.165,FALSE,"",165,"307527",2023-09-07 17:00:00,"MBMG",45.780639,-108.659667,"WELL","112YRT3","Quaternary","khaki3",22,"black",2
"178","309380_2022-10-04","3.81",3.81,FALSE,"",3.81,"<0.05",0.05,TRUE,"",-1,NA,NA,FALSE,NA,NA,"38.5",38.5,FALSE,"",38.5,"<0.05",0.05,TRUE,"",-1,"309380",2022-10-04 09:43:00,"City of Billings",45.73467,-108.56881,"WELL","112YRT2","Quaternary","khaki3",22,"black",2
